Num,name,ganre,tel,open_h,open_m,close_h,close_m,horiday,address,area,comment1,comment2,,Path
46,クレープショップ　モグモグ,スイーツ,0191-34-9902,12,0,19,0,不定休,一関市大町2-51,一関市内,,,,
47,じゃじゃ麺本舗　じゃじゃ丸,中華,0191-26-8460,11,0,20,0,不定休,一関市地主町7-17,一関市内,,,,
48,焼肉会館,焼肉,0191-34-9600,11,0,22,0,月曜日,一関市山目字十二神26-1,一関市内,,,,
49,ポラーノ,スイーツ,0191-39-2272,10,0,17,0,不定休,一関市厳美町字入道178-3,一関市内,郊外にポツンと店を構えるアイス屋さん,季節でメニューが変わり優しい甘さが体にしみる、、、,,
50,コロ兵衛くん,テイクアウト,0191-88-0028,11,0,19,0,日曜、祝日,一関市地主町2-34,一関市内,,,,
51,フロール・カフェ,カフェ,0191-82-3690,11,30,21,30,火曜,花泉町涌津境8-2,花泉,,,,
52,man maru ya,スイーツ,0191-82-1333,11,0,19,0,金曜,花泉町油島字向山2-23,花泉,,,,
53,笑華亭,中華料理,0191-82-5880,11,0,21,30,不定休,花泉町花泉字東鹿野10-1,花泉,,,,
54,イタリアン料理　フィオーレ,イタリアン,0191-48-3264,11,0,22,0,不定休,花泉町涌津境二ノ町28-4,花泉,,,,
55,兆治,焼肉,0191-82-5290,9,0,17,0,不定休,花泉町涌津字上原22-1,花泉,,,,
56,丸宝食堂,中華料理,0191-48-5505,11,0,21,0,木曜日、第3木曜日,川崎町薄衣字須崎146-2,川崎市,,,,
57,川崎亭,和食,0191-48-4880,11,0,20,0,不定休,川崎町薄衣法道地42-3,川崎市,,,,
58,Cafe Stand Halte,スイーツ,情報なし,7,0,17,0,不定休,川崎町薄衣法道地42-3,川崎市,,,,
59,がっつり亭,ラーメン、和食,情報なし,11,0,15,0,火曜日,川崎町薄衣法道地42-3,川崎市,,,,
60,ラーメン福福,ラーメン,0191-43-3822,11,0,20,0,不定休,川崎町薄衣字久伝１３,川崎市,とにかく量が多い！そして安い！おなかがすいた時にはぜひ行きたい！,国道沿いなので気軽に生きやすい,,
61,カフェ&ゲストハウス　カヂヤ,洋食,080-1836-0554,11,30,14,30,月曜日、火曜日,東山町長坂字町43,東山町,,,,
62,デリカ,洋食、ラーメン,0191-47-3068,,,,,,東山町長坂西本町26-2,東山町,,,,
63,紙すき館,和食,0191-47-2424,9,0,17,0,不定休,東山町長坂字町390,東山町,,,,
64,パティスリーフジ,スイーツ,0191-47-4149,9,0,18,30,水曜日,東山町長坂字327,東山町,,,,
65,たかこう,和食,0191-47-3432,8,30,17,30,情報なし,東山町長坂字443,東山町,,,,
